permutation|time
(0, 4, 3, 2, 1)|0:00:24.003000
(0, 4, 3, 2, 1)|0:00:24.166817
(0, 4, 3, 2, 1)|0:00:24.099000
(0, 4, 3, 2, 1)|0:00:24.056999
(0, 4, 3, 2, 1)|0:00:24.010001
(0, 4, 3, 2, 1)|0:00:24.070000
(0, 4, 3, 2, 1)|0:00:24.113637
(0, 4, 3, 2, 1)|0:00:24.024021
(0, 4, 3, 2, 1)|0:00:23.930998
(0, 4, 3, 2, 1)|0:00:24.066000
(0, 4, 3, 2, 1)|0:00:23.889001
(0, 4, 3, 2, 1)|0:00:24.011000
(0, 4, 3, 2, 1)|0:00:23.961000
(1, 0, 2, 3, 4)|0:00:20.288998
(1, 0, 2, 3, 4)|0:00:20.305998
(1, 0, 2, 3, 4)|0:00:20.254511
(1, 0, 2, 3, 4)|0:00:20.200002
(1, 0, 2, 3, 4)|0:00:20.283998
(1, 0, 2, 3, 4)|0:00:20.240000
(1, 0, 2, 3, 4)|0:00:20.250000
(1, 0, 2, 3, 4)|0:00:20.407998
(1, 0, 2, 3, 4)|0:00:20.268999
(1, 0, 2, 3, 4)|0:00:20.235999
(1, 0, 2, 3, 4)|0:00:20.344000
(1, 0, 2, 3, 4)|0:00:20.303001
(1, 0, 2, 3, 4)|0:00:20.293999
(1, 0, 2, 3, 4)|0:00:20.368999
(1, 0, 2, 3, 4)|0:00:20.249000
(1, 0, 2, 3, 4)|0:00:20.357001
(1, 0, 2, 3, 4)|0:00:20.306000
(1, 0, 2, 3, 4)|0:00:20.286000
(1, 0, 2, 3, 4)|0:00:20.329000
(1, 0, 2, 3, 4)|0:00:20.302000
(1, 0, 2, 4, 3)|0:00:20.221999
(1, 0, 2, 4, 3)|0:00:20.355511
(1, 0, 2, 4, 3)|0:00:20.327000
(1, 0, 2, 4, 3)|0:00:20.240508
(1, 0, 2, 4, 3)|0:00:20.255001
(1, 0, 2, 4, 3)|0:00:20.406997
(1, 0, 2, 4, 3)|0:00:20.221000
(1, 0, 2, 4, 3)|0:00:20.386001
(1, 0, 2, 4, 3)|0:00:20.229000
(1, 0, 2, 4, 3)|0:00:20.256000
(1, 0, 2, 4, 3)|0:00:20.372000
(1, 0, 2, 4, 3)|0:00:20.271998
(1, 0, 2, 4, 3)|0:00:20.298001
(1, 0, 2, 4, 3)|0:00:20.332510
(1, 0, 2, 4, 3)|0:00:20.236001
(1, 0, 2, 4, 3)|0:00:20.297001
(1, 0, 2, 4, 3)|0:00:20.389000
(1, 0, 2, 4, 3)|0:00:20.288001
(1, 0, 2, 4, 3)|0:00:20.257001
(1, 0, 2, 4, 3)|0:00:20.317000
(1, 0, 3, 2, 4)|0:00:20.252001
(1, 0, 3, 2, 4)|0:00:20.224331
(1, 0, 3, 2, 4)|0:00:20.392010
(1, 0, 3, 2, 4)|0:00:20.345120
(1, 0, 3, 2, 4)|0:00:20.326111
(1, 0, 3, 2, 4)|0:00:20.499999
(1, 0, 3, 2, 4)|0:00:20.332000
(1, 0, 3, 2, 4)|0:00:20.311000
(1, 0, 3, 2, 4)|0:00:20.220000
(1, 0, 3, 2, 4)|0:00:20.286001
(1, 0, 3, 2, 4)|0:00:20.342001
(1, 0, 3, 2, 4)|0:00:20.309027
(1, 0, 3, 2, 4)|0:00:20.325000
(1, 0, 3, 2, 4)|0:00:20.313001
(1, 0, 3, 2, 4)|0:00:20.379054
(1, 0, 3, 2, 4)|0:00:20.519998
(1, 0, 3, 2, 4)|0:00:20.347001
(1, 0, 3, 2, 4)|0:00:20.345000
(1, 0, 3, 2, 4)|0:00:20.410999
(1, 0, 3, 2, 4)|0:00:20.347000
(1, 0, 3, 4, 2)|0:00:20.319028
(1, 0, 3, 4, 2)|0:00:20.328000
(1, 0, 3, 4, 2)|0:00:20.360000
(1, 0, 3, 4, 2)|0:00:20.286000
(1, 0, 3, 4, 2)|0:00:20.297000
(1, 0, 3, 4, 2)|0:00:20.385567
(1, 0, 3, 4, 2)|0:00:20.398499
(1, 0, 3, 4, 2)|0:00:20.317999
(1, 0, 3, 4, 2)|0:00:20.642134
(1, 0, 3, 4, 2)|0:00:20.302000
(1, 0, 3, 4, 2)|0:00:20.376001
(1, 0, 3, 4, 2)|0:00:20.376000
(1, 0, 3, 4, 2)|0:00:20.321000
(1, 0, 3, 4, 2)|0:00:20.278999
(1, 0, 3, 4, 2)|0:00:20.345000
(1, 0, 3, 4, 2)|0:00:20.319001
(1, 0, 3, 4, 2)|0:00:20.310172
(1, 0, 3, 4, 2)|0:00:20.275000
